Dataset Title,Crop Type,Region,Sampling Date From,Sampling Date To,Sampling Method,Soil pH,Moisture (%),Yield (kg/ha),Description
Maize Yield Trial,Maize,Central Province,01/03/2026,30/06/2026,Randomized field sampling,6.2,18,5200,Trial data collected from smallholder maize plots in Central Province during the 2026 growing season.
Maize Yield Trial,Maize,Central Province,01/03/2026,30/06/2026,Randomized field sampling,6.2,18,5200,Trial data collected from smallholder maize plots in Central Province during the 2026 growing season.
Maize Yield Trial,Maize,Central Province,01/03/2026,30/06/2026,Randomized field sampling,6.2,18,5200,Trial data collected from smallholder maize plots in Central Province during the 2026 growing season.
Maize Yield Trial,Maize,Central Province,01/03/2026,30/06/2026,Randomized field sampling,6.2,18,5200,Trial data collected from smallholder maize plots in Central Province during the 2026 growing season.
Maize Yield Trial,Maize,Central Province,01/03/2026,30/06/2026,Randomized field sampling,6.2,18,5200,Trial data collected from smallholder maize plots in Central Province during the 2026 growing season.
Maize Yield Trial,Maize,Central Province,01/03/2026,30/06/2026,Randomized field sampling,6.2,18,5200,Trial data collected from smallholder maize plots in Central Province during the 2026 growing season.
Maize Yield Trial,Maize,Central Province,01/03/2026,30/06/2026,Randomized field sampling,6.2,18,5200,Trial data collected from smallholder maize plots in Central Province during the 2026 growing season.
Maize Yield Trial,Maize,Central Province,01/03/2026,30/06/2026,Randomized field sampling,6.2,18,5200,Trial data collected from smallholder maize plots in Central Province during the 2026 growing season.
Maize Yield Trial,Maize,Central Province,01/03/2026,30/06/2026,Randomized field sampling,6.2,18,5200,Trial data collected from smallholder maize plots in Central Province during the 2026 growing season.
Maize Yield Trial,Maize,Central Province,01/03/2026,30/06/2026,Randomized field sampling,6.2,18,5200,Trial data collected from smallholder maize plots in Central Province during the 2026 growing season.
Maize Yield Trial,Maize,Central Province,01/03/2026,30/06/2026,Randomized field sampling,6.2,18,5200,Trial data collected from smallholder maize plots in Central Province during the 2026 growing season.
Maize Yield Trial,Maize,Central Province,01/03/2026,30/06/2026,Randomized field sampling,6.2,18,5200,Trial data collected from smallholder maize plots in Central Province during the 2026 growing season.
Maize Yield Trial,Maize,Central Province,01/03/2026,30/06/2026,Randomized field sampling,6.2,18,5200,Trial data collected from smallholder maize plots in Central Province during the 2026 growing season.
Maize Yield Trial,Maize,Central Province,01/03/2026,30/06/2026,Randomized field sampling,6.2,18,5200,Trial data collected from smallholder maize plots in Central Province during the 2026 growing season.
